Timestamp,PM2.5,PM10,NO,NO2,NOx,SO2,Ozone,RH_L,SR_L,AT_L,WS_L,WD_L,tp_S,SR_S,u10_S,d2m_S,t2m_S,sp_S,v10n_S,blh_S,WindSpdNS_C,WindSpdEW_C
2018-01-01 00:00:00,754.0,,,127.13,,19.75,24.91,75.58,12.58,10.5,0.3,139.67,,,,,,,,,-0.22869887,0.1941567069
2018-01-01 01:00:00,754.0,,,87.39,,14.6,26.59,76.58,12.83,10.43,0.3,54.92,,,,,,,,,0.1724158887,0.2455051147
2018-01-01 02:00:00,868.0,,,69.39,,14.25,18.79,77.92,12.83,10.32,0.3,61.33,,,,,,,,,0.1439292477,0.2632192464
2018-01-01 03:00:00,854.0,,130.15,48.4,275.27,10.3,14.24,78.83,13.0,9.45,0.3,84.33,,,,,,,,,0.02963961788,0.2985322312
2018-01-01 04:00:00,713.0,917.0,117.34,46.4,215.33,10.13,14.59,80.33,14.17,9.52,0.3,170.75,,,,,,,,,-0.29609891,0.04822276968
2018-01-01 05:00:00,625.0,802.0,97.67,63.01,209.53,7.64,32.17,81.0,16.83,10.03,0.32,210.25,,,,,,,,,-0.2764273617,-0.1612076727
2018-01-01 06:00:00,275.0,407.0,75.04,63.47,164.2,18.02,16.56,81.0,17.08,9.72,0.3,142.08,0.0,3.6e-12,1.7767935,279.63892,280.32983,98789.625,0.12574601,32.94931,-0.2366608832,0.1843681815
2018-01-01 07:00:00,236.0,333.0,82.81,66.06,192.05,20.81,14.06,82.0,42.83,9.7,0.34,177.42,0.0,3.6e-12,1.7464638,279.5476,280.29224,98832.75,-0.00974948,37.244324,-0.3396553568,0.01530485481
2018-01-01 08:00:00,229.0,322.0,77.03,67.18,198.71,20.93,13.67,82.0,239.67,10.08,0.32,184.25,0.0,5770.465,1.5834455,279.59058,280.5852,98887.125,-0.21381044,38.69049,-0.3191200592,-0.02371471686
2018-01-01 09:00:00,252.0,374.0,60.77,91.95,170.33,20.97,13.45,82.0,426.17,11.04,0.3,86.08,0.0,309321.8,1.6192074,279.42798,280.8506,98965.69,-0.8904622,51.654953,0.02050906321,0.2992981429
2018-01-01 10:00:00,289.0,509.0,60.57,160.0,273.6,20.92,14.74,80.67,444.17,14.02,0.31,112.5,0.0,882452.44,0.89078206,280.73413,282.90698,99032.69,-0.8362509,98.386505,-0.118631864,0.2864026551
2018-01-01 11:00:00,289.0,560.0,64.74,153.03,248.49,24.94,40.77,72.92,440.08,16.93,0.33,119.58,0.0,1395475.0,0.69867045,281.7356,286.90845,99055.69,-0.82093215,217.83708,-0.1629006474,0.2869902073
2018-01-01 12:00:00,664.0,882.0,75.61,144.38,271.09,30.17,47.63,60.17,440.33,18.49,0.31,131.42,0.0,1774524.0,0.79197437,280.0952,288.35107,99047.625,-0.7313172,578.46924,-0.2050878356,0.2324628566
