Timestamp,PM2.5,PM10,NO,NO2,NOx,SO2,Ozone,RH_L,SR_L,AT_L,WS_L,WD_L,tp_S,SR_S,u10_S,d2m_S,t2m_S,sp_S,v10n_S,blh_S,WindSpdNS_C,WindSpdEW_C
2018-01-01 00:00:00,639.0,864.0,,120.37,,17.38,66.13,81.42,8.92,8.66,0.3,114.17,,,,,,,,,-0.1228336178,0.2737003879
2018-01-01 01:00:00,673.0,903.0,361.01,123.43,,10.67,62.03,82.0,8.92,8.3,0.3,136.0,,,,,,,,,-0.2158019401,0.2083975111
2018-01-01 02:00:00,636.0,862.0,334.1,107.75,,12.83,64.97,82.5,8.92,7.62,0.31,72.83,,,,,,,,,0.09151442635,0.2961842497
2018-01-01 03:00:00,678.0,931.0,217.72,91.82,391.56,6.27,56.32,83.42,9.25,6.6,0.45,61.5,,,,,,,,,0.2147214421,0.3954677007
2018-01-01 04:00:00,457.0,619.0,128.34,98.72,271.84,4.15,42.32,84.0,10.08,6.58,0.63,47.75,,,,,,,,,0.4235910887,0.4663374203
2018-01-01 05:00:00,371.0,478.0,34.67,102.17,142.93,3.43,33.59,84.92,10.33,6.05,0.6,42.17,,,,,,,,,0.4446937241,0.4027995677
2018-01-01 06:00:00,316.0,393.0,,,,19.66,,85.0,11.0,5.39,0.63,43.17,0.0,3.6e-12,1.764636,279.35767,280.21655,98806.19,0.19179583,34.82979,0.459475982,0.4310241548
2018-01-01 07:00:00,316.0,,,,,26.21,,85.0,13.25,5.17,0.67,71.42,0.0,3.6e-12,1.7409925,279.24048,280.11182,98846.75,0.04346092,37.73346,0.2134810657,0.6350793923
2018-01-01 08:00:00,316.0,,,,,27.57,,85.08,34.25,5.6,0.44,112.0,0.0,5022.4375,1.6502657,279.24683,280.31543,98898.75,-0.12908864,36.982864,-0.1648269011,0.407960896
2018-01-01 09:00:00,316.0,,,,,22.35,,84.92,101.83,7.01,0.77,74.08,0.0,300360.75,1.6874485,279.08984,280.71118,98975.44,-0.6574671,47.81549,0.211207083,0.7404671283
2018-01-01 10:00:00,316.0,,,,,66.48,,82.42,187.67,9.67,0.92,45.25,0.0,868700.75,0.95830995,280.45508,282.833,99042.75,-0.69805974,97.92084,0.6476935465,0.6533705456
2018-01-01 11:00:00,316.0,,,,,130.68,,63.75,245.5,13.73,0.84,71.58,0.0,1382371.0,0.81350565,281.48584,286.94482,99065.25,-0.724739,219.44206,0.2654233999,0.7969632481
2018-01-01 12:00:00,,,,,,7.26,,50.67,211.17,16.27,0.6,60.67,0.0,1769743.0,0.92283356,279.89062,288.39258,99058.25,-0.6907336,593.2888,0.2939033994,0.5230877477
2018-01-01 13:00:00,,,39.53,279.05,312.55,13.47,39.12,45.83,136.75,17.07,0.55,49.67,0.0,1933746.0,1.1070538,279.62402,289.42725,98934.875,-0.46524233,1256.0239,0.3559539627,0.4192812618
2018-01-01 14:00:00,,,12.53,224.3,224.1,32.38,79.22,48.5,112.58,17.04,0.83,47.75,0.0,1892655.0,1.4129086,279.29688,291.47632,98855.25,-0.2443155,1454.0986,0.5580644502,0.6143810458
2018-01-01 15:00:00,422.0,648.0,17.44,207.42,0.0,24.85,51.31,55.25,72.17,16.13,0.94,48.92,0.0,1607753.0,1.5937805,278.69067,291.6416,98749.25,-0.27573818,1566.1282,0.6176854328,0.7085652448
2018-01-01 16:00:00,396.0,687.0,25.91,172.4,112.8,17.42,35.44,63.92,36.75,14.18,0.7,50.25,0.0,1233223.0,1.6459131,280.12988,289.5354,98733.56,-0.42465806,1388.6707,0.4476073014,0.5381892825
2018-01-01 17:00:00,348.0,542.0,33.68,152.72,156.54,17.15,37.82,69.67,13.33,12.48,0.9,38.75,0.0,718272.3,0.9308998,281.5913,289.32227,98740.0,-0.52896595,432.0481,0.7018960348,0.563331125
2018-01-01 18:00:00,396.0,610.0,87.12,123.54,236.57,19.21,33.5,74.75,8.25,10.81,0.4,78.25,0.0,190706.69,1.037013,283.06982,288.0652,98752.0,-0.66020364,67.85579,0.08145670046,0.391618189
2018-01-01 19:00:00,399.0,599.0,136.9,115.95,299.77,21.75,25.59,77.42,8.33,10.02,0.51,62.08,0.0,56.361847,0.47192687,283.52222,288.17188,98779.69,-0.82971376,40.007675,0.2388015219,0.4506371413
2018-01-01 20:00:00,423.0,654.0,180.48,114.39,359.81,23.98,25.42,78.42,8.5,9.44,0.51,59.58,0.0,3.6e-12,0.14375949,282.85205,285.90063,98812.375,-0.8576531,34.40953,0.2582307518,0.4397918586
2018-01-01 21:00:00,460.0,711.0,195.36,99.74,367.37,31.44,34.67,79.5,8.92,8.57,0.6,57.42,0.0,3.6e-12,-0.18701768,282.05005,284.12988,98851.125,-0.84215504,30.59671,0.3230860085,0.5055842473
2018-01-01 22:00:00,509.0,791.0,99.67,98.74,231.42,22.02,29.95,81.58,9.0,7.63,0.92,38.67,0.0,3.6e-12,-0.19036609,282.48413,284.437,98887.0,-0.7657541,26.434998,0.7182970625,0.5748472232
2018-01-01 23:00:00,464.0,635.0,32.63,106.73,144.24,20.26,26.31,82.5,9.0,7.02,0.85,57.92,0.0,3.6e-12,-0.17138165,282.08765,283.51562,98888.375,-0.6311349,21.374283,0.4514374189,0.7202112584
