Timestamp,PM2.5,PM10,NO,NO2,NOx,SO2,Ozone,RH_L,SR_L,AT_L,WS_L,WD_L,tp_S,SR_S,u10_S,d2m_S,t2m_S,sp_S,v10n_S,blh_S,WindSpdNS_C,WindSpdEW_C
2018-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 01:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 02:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 03:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 04:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 05:00:00,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 06:00:00,,,,,,,,,,,,,0.0,3.6e-12,1.7156878,279.47925,280.31787,98797.125,0.20212358,36.039566,,
2018-01-01 07:00:00,,,,,,,,,,,,,0.0,3.6e-12,1.7395878,279.3733,280.21118,98838.75,0.07668716,39.66902,,
2018-01-01 08:00:00,,,,,,,,,,,,,0.0,5061.1367,1.6727037,279.364,280.38623,98892.125,-0.10313994,39.321777,,
2018-01-01 09:00:00,,,,,,,,,,,,,0.0,301237.56,1.7126379,279.21436,280.66992,98969.0,-0.60333204,50.630188,,
2018-01-01 10:00:00,,,,,,,,,,,,,0.0,870473.5,0.99041057,280.58325,282.7395,99035.94,-0.6742463,98.576294,,
2018-01-01 11:00:00,,,,,,,,,,,,,0.0,1381365.0,0.82127774,281.7041,286.79712,99058.56,-0.6857191,214.86865,,
2018-01-01 12:00:00,,,,,,,,,,,,,0.0,1767729.0,0.9276251,280.2605,288.24243,99051.44,-0.61531717,568.08936,,
2018-01-01 13:00:00,,,,,,,,,,,,,0.0,1932830.0,1.1413727,279.9812,289.31836,98927.5,-0.33620417,1242.4885,,
2018-01-01 14:00:00,,,,,,,,,,,,,0.0,1888884.0,1.4557209,279.6814,291.3291,98848.06,-0.15183449,1426.7678,,
2018-01-01 15:00:00,,,,,,,,,,,,,0.0,1589133.0,1.6495314,279.08472,291.50513,98742.0,-0.21046585,1539.084,,
2018-01-01 16:00:00,,,,,,,,,,,,,0.0,1225932.0,1.7134905,280.4104,289.41528,98727.25,-0.37757552,1378.9248,,
2018-01-01 17:00:00,,,,,,,,,,,,,0.0,712105.1,0.94916,281.8501,289.19556,98734.56,-0.49817723,457.91284,,
2018-01-01 18:00:00,,,,,,,,,,,,,0.0,186597.81,1.1236134,283.32642,287.8452,98746.25,-0.67063904,69.571686,,
2018-01-01 19:00:00,,,,,,,,,,,,,0.0,33.301483,0.5736134,283.78735,288.04883,98772.94,-0.84257805,40.53842,,
2018-01-01 20:00:00,,,,,,,,,,,,,0.0,3.6e-12,0.20928812,283.12354,285.85693,98805.56,-0.87024754,34.360107,,
2018-01-01 21:00:00,,,,,,,,,,,,,0.0,3.6e-12,-0.11727977,282.2661,284.16895,98843.5,-0.85522366,30.28717,,
2018-01-01 22:00:00,,,,,,,,,,,,,0.0,3.6e-12,-0.08684796,282.67725,284.57593,98878.81,-0.7728096,26.075455,,
2018-01-01 23:00:00,,,,,,,,,,,,,0.0,3.6e-12,-0.0702638,282.29565,283.698,98879.875,-0.63936836,21.274857,,
2018-01-02 00:00:00,,,,,,,,,,,,,0.0,3.6e-12,0.0049242526,282.34326,283.56372,98872.69,-0.46104503,16.767578,,
2018-01-02 01:00:00,,,,,,,,,,,,,0.0,3.6e-12,0.2665512,282.16382,283.16895,98855.125,-0.30016404,13.772955,,
2018-01-02 02:00:00,,,,,,,,,,,,,0.0,3.6e-12,0.62686473,281.58716,281.97534,98829.0,-0.2220456,12.854001,,
2018-01-02 03:00:00,,,,,,,,,,,,,0.0,3.6e-12,0.924533,281.33203,281.6941,98801.125,-0.2534989,14.333569,,
