Timestamp,PM2.5,PM10,NO,NO2,NOx,SO2,Ozone,RH_L,SR_L,AT_L,WS_L,WD_L,tp_S,SR_S,u10_S,d2m_S,t2m_S,sp_S,v10n_S,blh_S,WindSpdNS_C,WindSpdEW_C
2018-01-01 00:00:00,578.0,853.0,285.65,71.21,,18.73,7.5,84.67,2.83,5.39,0.3,193.83,,,,,,,,,-0.2913027753,-0.07171257287
2018-01-01 01:00:00,520.0,724.0,417.64,53.76,,0.07,7.78,85.0,2.83,4.93,0.3,190.75,,,,,,,,,-0.2947351193,-0.0559572108
2018-01-01 02:00:00,456.0,697.0,334.1,45.84,,,6.75,85.92,2.75,4.49,0.3,196.17,,,,,,,,,-0.28813189,-0.08354647777
2018-01-01 03:00:00,395.0,615.0,278.22,53.85,441.97,,5.49,86.17,2.75,4.54,0.3,193.92,,,,,,,,,-0.2911897701,-0.07217006154
2018-01-01 04:00:00,343.0,541.0,239.2,85.17,415.74,3.23,3.4,86.83,2.25,4.74,0.3,198.58,,,,,,,,,-0.284363907,-0.09558853689
2018-01-01 05:00:00,300.0,537.0,195.2,91.07,359.11,0.27,4.67,86.83,2.5,4.62,0.3,200.17,,,,,,,,,-0.2816021075,-0.1034420274
2018-01-01 06:00:00,298.0,528.0,183.11,75.28,327.55,0.06,5.23,87.0,2.33,4.67,0.3,222.0,0.0,3.6e-12,1.8494625,279.38574,280.17676,98783.125,0.13401908,31.677307,-0.2229434476,-0.2007391819
2018-01-01 07:00:00,307.0,516.0,99.16,68.25,202.68,,4.72,87.0,4.92,5.27,0.3,209.5,0.0,3.6e-12,1.7530909,279.26,280.1228,98823.81,-0.045964986,34.44153,-0.2611067088,-0.147727068
2018-01-01 08:00:00,233.0,329.0,68.34,74.15,164.61,6.42,5.65,87.83,18.92,5.88,0.3,209.83,0.0,5452.496,1.5752697,279.3064,280.42554,98875.19,-0.22214305,34.52707,-0.2602515358,-0.1492284761
2018-01-01 09:00:00,239.0,338.0,49.43,87.88,150.58,2.23,5.8,87.92,73.5,6.69,0.3,217.92,0.0,305201.94,1.62218,279.07812,280.87012,98952.75,-0.8911615,45.73253,-0.2366608832,-0.1843681815
2018-01-01 10:00:00,230.0,403.0,73.33,190.25,278.5,1.12,6.73,86.5,177.0,9.0,0.3,188.33,0.0,875812.1,0.8697138,280.3994,283.05127,99020.06,-0.8267142,97.107666,-0.2968350206,-0.0434622887
2018-01-01 11:00:00,346.0,825.0,42.28,170.28,216.34,0.17,9.95,72.42,240.83,13.03,0.63,187.0,0.0,1393853.0,0.7200063,281.25146,287.20557,99042.75,-0.87718725,227.22748,-0.6253040755,-0.07677768635
2018-01-01 12:00:00,296.0,526.0,13.54,143.72,151.35,14.07,36.0,52.08,251.25,15.96,0.98,126.08,,1778899.0,0.81754816,279.34058,288.65576,99035.44,-0.87415886,631.6538,-0.5771359942,0.7920315929
2018-01-01 13:00:00,224.0,437.0,7.93,111.43,113.72,24.16,66.92,41.67,228.75,17.6,0.97,182.08,0.0,1944976.0,1.0097189,279.00122,289.55542,98912.625,-0.7139469,1279.0122,-0.9693608902,-0.03520602881
2018-01-01 14:00:00,210.0,350.0,3.56,59.13,59.42,22.12,104.29,34.42,193.0,17.93,1.01,248.08,0.0,1912706.0,1.3225555,278.62207,291.64844,98832.69,-0.40809357,1514.1709,-0.3770447522,-0.9369830601
2018-01-01 15:00:00,147.0,280.0,4.4,54.04,4.75,45.5,101.23,33.0,110.17,17.14,0.78,240.83,0.0,1652274.0,1.4912052,277.9624,291.78735,98726.0,-0.34902108,1636.0391,-0.3801739745,-0.6810783722
